event-id,visible,timestamp,location-long,location-lat,data-decoding-software,gps:horizontal-accuracy-estimate,gps:speed-accuracy-estimate,gps-time-to-fix,ground-speed,heading,height-above-ellipsoid,icarus:ecef-vx,icarus:ecef-vy,icarus:ecef-vz,icarus:ecef-x,icarus:ecef-y,icarus:ecef-z,icarus:reset-counter,icarus:timestamp-accuracy,icarus:timestamp-source,icarus:uplink-counter,import-marked-outlier,location-accuracy-comments,location-error-text,mortality-status,tag-voltage,transmission-protocol,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18616710679,true,2021-04-24 01:15:00.000,-144.5352059,-14.9509799,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710680,true,2021-04-24 22:00:00.000,-144.5344763,-14.9501645,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710681,true,2021-04-25 00:27:00.000,-144.5344763,-14.950465,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710682,true,2021-04-25 22:01:00.000,-144.5339184,-14.94995,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710683,true,2021-04-26 22:00:00.000,-144.5339614,-14.9502504,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710684,true,2021-04-27 22:03:00.000,-144.5338755,-14.9501645,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710685,true,2021-04-27 23:43:00.000,-144.5339184,-14.9500787,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710686,true,2021-04-28 09:36:00.000,-144.5458918,-14.9424827,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710687,true,2021-04-28 09:37:00.000,-144.5458896,-14.94248,,,,,,,,,,,,,,,"OK","common-uplink-header",,false,,">10m","lost",4000.0,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300283,true,2021-05-06 22:01:00.000,-144.5370083,-14.9514949,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300284,true,2021-05-07 19:04:00.000,-144.5375233,-14.9520099,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300285,true,2021-05-07 22:01:00.000,-144.5384246,-14.952482,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300286,true,2021-05-08 22:03:00.000,-144.5340043,-14.9502504,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300287,true,2021-05-09 05:45:00.000,-144.5324593,-14.945873,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300288,true,2021-05-09 19:05:00.000,-144.5331889,-14.9453151,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300289,true,2021-05-09 22:00:00.000,-144.539712,-14.9431693,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300290,true,2021-05-10 04:57:00.000,-144.5333605,-14.9452293,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18739300291,true,2021-05-10 18:16:00.000,-144.5332747,-14.94995,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
